id_entrance;name_ru;name_en;name_pl;id_station;direction;lat;lon;max_width;min_step;min_step_ramp;lift;lift_minus_step;min_rail_width;max_rail_width;max_angle
1181;Выборгская-2;Vyborgskaja-2;Vyborgskaja-2;15;both;59.971213;30.347160;735;24;0;0;0;353;742;24
1182;Выборгская-3;Vyborgskaja-3;Vyborgskaja-3;15;both;59.971150;30.347965;735;73;59;0;0;353;742;24
1183;Выборгская-4;Vyborgskaja-4;Vyborgskaja-4;15;both;59.971328;30.347861;735;73;26;0;0;396;614;27
1184;Выборгская-5;Vyborgskaja-5;Vyborgskaja-5;15;both;59.971242;30.348626;735;73;59;0;0;353;742;24
1185;Выборгская-6;Vyborgskaja-6;Vyborgskaja-6;15;both;59.971182;30.348212;735;73;59;0;0;353;742;24
1186;Выборгская-7;Vyborgskaja-7;Vyborgskaja-7;15;both;59.971212;30.348415;735;72;58;0;0;353;742;24
1187;Выборгская-8;Vyborgskaja-8;Vyborgskaja-8;15;both;59.972184;30.348198;735;50;26;0;0;353;742;24
1188;Выборгская-9;Vyborgskaja-9;Vyborgskaja-9;15;both;59.972490;30.350788;735;65;26;0;0;407;618;25
1192;Лесная-1;Lesnaja-1;Lesnaja-1;16;in;59.984929;30.344194;745;1;1;0;0;0;0;0
1193;Лесная-2;Lesnaja-2;Lesnaja-2;16;out;59.984758;30.344448;745;1;1;0;0;0;0;0
1204;Площадь Мужества-1;Ploshhad' Muzhestva-1;Ploshhad' Muzhestva-1;17;both;59.999619;30.366015;735;0;0;0;0;0;0;0
1216;Политехническая-1;Politehnicheskaja-1;Politehnicheskaja-1;18;in;60.008950;30.370597;745;5;0;0;0;0;1000;8
1217;Политехническая-2;Politehnicheskaja-2;Politehnicheskaja-2;18;out;60.008766;30.370758;745;5;0;0;0;0;1000;8
1228;Академическая-1;Akademicheskaja-1;Akademicheskaja-1;19;both;60.012805;30.396234;915;0;0;0;0;0;0;0
1240;Гражданский проспект-1;Grazhdanskij prospekt-1;Grazhdanskij prospekt-1;20;in;60.035222;30.418450;735;2;0;0;0;356;745;22
1241;Гражданский проспект-2;Grazhdanskij prospekt-2;Grazhdanskij prospekt-2;20;out;60.034881;30.418612;735;2;0;0;0;356;745;22
