fromStation,toStation,fromStation_en,toStation_en,transferId,fromId,toId,nodeId,minWidth,minStairs,minRailsStairs,lift,liftStairsEconomy,minRailsWidth,maxRailsWidth,maxAngle,maxSlope,minStairways,wheelchairFriendlyRoutes,handicappedFriendlyRoutes,luggageFriendlyRoutes,minLiftStairs,lineId,line
Добрынинская,Серпуховская,Dobryninskaya,Serpukhovskaya,74-142,142,74,92,900,21,21,0,0,0,0,0,0,1,0,0,0,21,9,Серпуховско-Тимирязевская
Серпуховская,Добрынинская,Serpukhovskaya,Dobryninskaya,74-142,74,142,92,900,21,21,0,0,0,0,0,0,1,0,0,0,21,5,Кольцевая
Парк Культуры (Кольцевая),Парк Культуры (Сокольническая),Park Kultury (Koltsevaya),Park Kultury (Sokolnicheskaya),13-76,76,13,93,900,63,63,0,0,0,0,0,0,1,0,0,0,63,5,Кольцевая
Парк Культуры (Сокольническая),Парк Культуры (Кольцевая),Park Kultury (Sokolnicheskaya),Park Kultury (Koltsevaya),13-76,13,76,93,900,21,21,0,0,0,0,0,0,2,0,0,0,21,1,Сокольническая
Краснопресненская,Баррикадная,Krasnopresnenskaya,Barrikadnaya,78-120,78,120,94,1000,28,28,0,0,0,0,0,0,1,0,0,0,28,5,Кольцевая
Баррикадная,Краснопресненская,Barrikadnaya,Krasnopresnenskaya,78-120,120,78,94,1000,28,28,0,0,0,0,0,0,1,0,0,0,28,7,Таганско-Краснопресненская
Трубная,Цветной бульвар,Trubnaya,Tsvetnoy Bulvar,138-166,166,138,97,900,26,26,0,0,0,0,0,0,1,0,0,0,26,10,Люблинско-Дмитровская
Цветной бульвар,Трубная,Tsvetnoy Bulvar,Trubnaya,138-166,138,166,97,900,26,26,0,0,0,0,0,0,1,0,0,0,26,9,Серпуховско-Тимирязевская
Пролетарская,Крестьянская застава,Proletarskaya,Krestyanskaya Zastava,115-153,115,153,98,950,54,54,0,0,0,0,0,0,1,0,0,0,54,7,Таганско-Краснопресненская
Крестьянская застава,Пролетарская,Krestyanskaya Zastava,Proletarskaya,115-153,153,115,98,950,54,54,0,0,0,0,0,0,1,0,0,0,54,10,Люблинско-Дмитровская
Лубянка ,Кузнецкий мост,Lubyanka,Kuznetsky Most,9-118,9,118,132,900,0,0,0,0,0,0,0,0,2,0,1,1,0,1,Сокольническая
Кузнецкий мост,Лубянка ,Kuznetsky Most,Lubyanka,9-118,118,9,132,900,0,0,0,0,0,0,0,0,2,0,1,1,0,7,Таганско-Краснопресненская
